Almacen,Código de barras,Stock min,ROP,Stock Max
CEDIS,705105299372,14,21,35
CEDIS,713443081016,0,0,0
CEDIS,713443081023,1,2,3
CEDIS,713443082006,0,0,0
CEDIS,713443082020,0,0,0
CEDIS,713443083003,0,0,0
CEDIS,713443083010,0,0,0
CEDIS,713443084017,0,0,0
CEDIS,713443084024,0,0,0
CEDIS,713443084031,0,0,0
CEDIS,713443085007,0,0,0
CEDIS,713443085014,0,0,0
CEDIS,713443085021,0,0,0
CEDIS,713443085038,0,0,0
CEDIS,713443085045,0,0,0
CEDIS,713443086011,0,0,0
CEDIS,713443087001,0,0,0
CEDIS,718122801534,18,26,43
CEDIS,718122887019,0,0,0
CEDIS,718122899173,1,2,3
CEDIS,724373569512,0,0,0
CEDIS,724373569567,0,0,0
CEDIS,60748000359,0,0,0
CEDIS,724373569574,0,0,0
CEDIS,724373569598,0,0,0
CEDIS,724373569604,0,0,0
CEDIS,724373569642,0,0,0
CEDIS,724373569659,0,0,0
CEDIS,724373569666,0,0,0
CEDIS,724373569673,0,0,0
CEDIS,724373569703,0,0,0
CEDIS,724373569710,0,0,0
CEDIS,724373569727,0,0,0
CEDIS,726798307694,5,7,12
CEDIS,726798307700,27,36,63
CEDIS,726798307717,1,2,3
CEDIS,726798307724,0,0,0
CEDIS,726798307731,0,0,0
CEDIS,728028111422,0,0,0
CEDIS,728028111439,0,0,0
CEDIS,728028111446,0,0,0
CEDIS,728028111453,0,0,0
CEDIS,728028111460,0,0,0
CEDIS,728028111477,0,0,0
CEDIS,728028111491,0,0,0
CEDIS,728028151077,1,2,3
CEDIS,728028202595,0,0,0
CEDIS,728028202601,0,0,0
CEDIS,728028317626,0,0,0
CEDIS,728028317633,0,0,0
CEDIS,728028414912,0,0,0
CEDIS,728028414929,0,0,0
CEDIS,728028420340,0,0,0
CEDIS,728028435856,0,0,0
CEDIS,728028435870,0,0,0
CEDIS,728028455250,0,0,0
CEDIS,728028465525,0,0,0
CEDIS,728028465532,0,0,0
CEDIS,728028472547,0,0,0
CEDIS,728028472554,0,0,0
CEDIS,728028479775,0,0,0
CEDIS,728028479782,0,0,0
CEDIS,728028479799,0,0,0
CEDIS,728028479836,0,0,0
CEDIS,729208176651,0,0,0
CEDIS,732013250164,2,3,5
CEDIS,732013250171,0,0,0
CEDIS,732013250188,7,10,17
CEDIS,732013250195,2,3,5
CEDIS,732013301026,0,0,0
CEDIS,732013301040,0,0,0
CEDIS,732013301194,1,2,3
CEDIS,732013301323,2,3,4
CEDIS,732013301330,3,5,8
CEDIS,732013301347,0,0,0
CEDIS,732013301378,2,3,5
CEDIS,732013301385,0,0,0
CEDIS,732013301392,1,2,3
CEDIS,732013301415,4,6,10
CEDIS,732013301446,0,0,0
CEDIS,732013301453,0,0,0
CEDIS,732013301477,4,5,8
CEDIS,732013301507,0,0,0
CEDIS,732013301545,0,0,0
CEDIS,732013301552,0,0,0
CEDIS,732013301576,0,0,0
CEDIS,732013301583,0,0,0
CEDIS,732013301606,0,0,0
CEDIS,732013301613,2,3,5
CEDIS,732013301620,0,0,0
CEDIS,732013301651,0,0,0
CEDIS,732013301811,0,0,0
CEDIS,732013302092,0,0,0
CEDIS,732013302160,2,3,4
CEDIS,732013302481,0,0,0
CEDIS,732013302511,2,3,5
CEDIS,732013302689,0,0,0
CEDIS,732013302924,4,6,10
CEDIS,732013301569,0,0,0
CEDIS,732013303013,14,20,34
CEDIS,732013303037,2,4,6
CEDIS,732013301484,0,0,0
CEDIS,732013303051,9,14,23
CEDIS,732013301590,0,0,0
CEDIS,732013303068,3,5,8
CEDIS,736211029546,56,74,130
CEDIS,736211284860,37,51,87
CEDIS,736211778659,0,0,0
CEDIS,736211778758,2,3,5
CEDIS,736211876881,0,0,0
CEDIS,736211877086,0,0,0
CEDIS,736631276513,0,0,0
CEDIS,736631276568,0,0,0
CEDIS,736631276575,4,6,10
CEDIS,736631276605,2,3,5
CEDIS,736631276643,0,0,0
CEDIS,736631276650,1,2,3
CEDIS,736631276667,0,0,0
CEDIS,736631276704,1,2,3
CEDIS,736631276711,0,0,0
CEDIS,736631276728,2,4,6
CEDIS,736631276834,0,0,0
CEDIS,745853456740,0,0,0
CEDIS,745853456757,0,0,0
CEDIS,763331477117,0,0,0
CEDIS,767331152127,1,2,3
CEDIS,767332100531,1,2,3
CEDIS,767332108278,0,0,0
CEDIS,767332109008,0,0,0
CEDIS,767332109039,3,4,8
CEDIS,767332109046,6,9,15
CEDIS,767332109251,4,6,10
CEDIS,767332150055,0,0,0
CEDIS,767332150192,1,2,3
CEDIS,767332150482,0,0,0
CEDIS,767332150222,3,5,8
CEDIS,767332150239,0,0,0
CEDIS,767332152370,0,0,0
CEDIS,767332152691,2,4,6
CEDIS,767332152721,1,2,3
CEDIS,767332153483,7,10,17
CEDIS,767332154022,2,3,5
CEDIS,767332154060,0,1,1
CEDIS,767332154107,3,4,7
