Almacen,Código de barras,Stock min,Stock Max
Sucursal Centro,8436012781750,0,0
Sucursal Centro,8436012781613,0,0
Sucursal Centro,8436012781279,0,0
Sucursal Centro,8436012781347,0,0
Sucursal Centro,8436012781408,0,0
Sucursal Centro,8436012781538,0,0
Sucursal Centro,8436012781576,0,0
Sucursal Centro,8436012781767,0,0
Sucursal Centro,8436012781620,0,0
Sucursal Centro,8436012781651,0,0
Sucursal Centro,8436012781699,0,0
Sucursal Centro,8436012781286,0,0
Sucursal Centro,8436012781354,0,0
Sucursal Centro,8436012781415,0,0
Sucursal Centro,8436012781507,0,0
Sucursal Centro,8436012781583,0,0
Sucursal Centro,8436012781637,0,0
Sucursal Centro,8436012781668,0,0
Sucursal Centro,8436012781705,0,0
Sucursal Centro,8436012781293,0,0
Sucursal Centro,8436012781361,0,0
Sucursal Centro,8436012781422,0,0
Sucursal Centro,8436012781460,0,0
Sucursal Centro,8436012781514,0,0
Sucursal Centro,8436012781552,0,0
Sucursal Centro,8436012781590,0,0
Sucursal Centro,8436012781644,0,0
Sucursal Centro,8436012781675,0,0
Sucursal Centro,8436012781712,0,0
Sucursal Centro,8436012781309,0,0
Sucursal Centro,8436012781378,0,0
Sucursal Centro,8436012781439,0,0
Sucursal Centro,8436012781521,0,0
Sucursal Centro,8436012781606,0,0
Sucursal Centro,8436012781729,0,0
Sucursal Centro,8436012781316,0,0
Sucursal Centro,3282779003124,1,1
Sucursal Centro,3282779003131,3,3
Sucursal Centro,3282779035576,1,1
Sucursal Centro,3282770021516,0,0
Sucursal Centro,3282770030068,0,0
Sucursal Centro,3282770072655,2,2
Sucursal Centro,3282770149548,3,3
Sucursal Centro,3282770149562,3,3
Sucursal Centro,3282776367045,2,2
Sucursal Centro,3282776071157,1,1
Sucursal Centro,3282770149494,2,2
Sucursal Centro,3282770149524,4,4
Sucursal Centro,3282779275699,0,0
Sucursal Centro,3282770207217,3,3
Sucursal Centro,3282770207187,3,3
Sucursal Centro,3282770149074,1,1
Sucursal Centro,3282770149111,2,2
Sucursal Centro,3282770075687,0,0
Sucursal Centro,3282770075724,3,3
Sucursal Centro,3282770141214,4,4
Sucursal Centro,3282776367410,0,0
Sucursal Centro,3282779276115,0,0
Sucursal Centro,3282770397079,4,4
Sucursal Centro,3282770396881,2,2
Sucursal Centro,3282779391580,0,0
Sucursal Centro,3282770392654,3,3
Sucursal Centro,3282770392692,3,3
Sucursal Centro,3282770396317,0,0
Sucursal Centro,3282770396331,2,2
Sucursal Centro,3282776456428,0,0
Sucursal Centro,3282779391023,0,0
Sucursal Centro,3282770148763,0,0
